agent_name,games,wins,draws,losses,invalid_moves,optimal_actions,total_actions,win_rate,draw_rate,loss_rate,invalid_rate,optimality_rate
random,45,0,4,41,0,85,133,0.0,0.08888888888888889,0.9111111111111111,0.0,0.6390977443609023
alphabeta,45,15,30,0,0,185,185,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0
gemma4-ollama,45,16,29,0,0,183,183,0.35555555555555557,0.6444444444444445,0.0,0.0,1.0
gpt-oss,45,14,27,4,0,175,181,0.3111111111111111,0.6,0.08888888888888889,0.0,0.9668508287292817
