game_idx,name,rating
0,random,1000.0
0,alphabeta,1000.0
0,gemma4-ollama,1000.0
0,gpt-oss,1000.0
0,qwen3-fallback,1000.0
1,random,984.0
1,alphabeta,1016.0
2,random,969.4695015289755
2,alphabeta,1030.5304984710244
3,random,972.2528663663891
3,alphabeta,1027.747133633611
4,random,958.7869583076313
4,alphabeta,1041.2130416923687
5,random,946.5131725699919
5,alphabeta,1053.4868274300081
6,random,935.2895057813955
6,alphabeta,1064.7104942186045
7,random,940.9883793384703
7,alphabeta,1059.0116206615296
8,random,930.2237062072238
8,alphabeta,1069.776293792776
9,random,920.3256643957454
9,alphabeta,1079.6743356042543
10,random,911.1892970074609
10,alphabeta,1088.8107029925388
11,random,899.1923709368485
11,gemma4-ollama,1011.9969260706124
12,random,888.2120556647025
12,gemma4-ollama,1022.9772413427585
13,random,878.1246285556279
13,gemma4-ollama,1033.064668451833
14,random,868.8216994033214
14,gemma4-ollama,1042.3675976041395
15,random,860.2093469469023
15,gemma4-ollama,1050.9799500605586
16,random,852.2066561169471
16,gemma4-ollama,1058.9826408905137
17,random,844.7440769751139
17,gemma4-ollama,1066.445220032347
18,random,837.761827025454
18,gemma4-ollama,1073.4274699820069
19,random,831.2084392780496
19,gemma4-ollama,1079.9808577294114
20,random,825.0394919877575
20,gemma4-ollama,1086.1498050197035
21,random,816.4782997786348
21,gpt-oss,1008.5611922091227
22,random,808.5208583361689
22,gpt-oss,1016.5186336515886
23,random,801.0984494318158
23,gpt-oss,1023.9410425559417
24,random,794.1520009882379
24,gpt-oss,1030.8874909995195
25,random,787.630648853445
25,gpt-oss,1037.4088431343125
26,random,781.4904813164513
26,gpt-oss,1043.5490106713062
27,random,775.6934660899581
27,gpt-oss,1049.3460258977996
28,random,770.2065444720583
28,gpt-oss,1054.8329475156993
29,random,781.0008718567539
29,gpt-oss,1044.0386201310039
30,random,775.2305657595132
30,gpt-oss,1049.8089262282447
31,random,800.3442511042258
31,qwen3-fallback,974.8863146552874
32,random,823.7679456979513
32,qwen3-fallback,951.4626200615619
33,random,845.3972827057468
33,qwen3-fallback,929.8332830537664
34,random,865.2109181283155
34,qwen3-fallback,910.0196476311977
35,random,883.263070998235
35,qwen3-fallback,891.9674947612782
36,random,899.6638406793564
36,qwen3-fallback,875.5667250801567
37,random,914.55590346839
37,qwen3-fallback,860.6746622911231
38,random,928.0942835534415
38,qwen3-fallback,847.1362822060717
39,random,940.4320727322785
39,qwen3-fallback,834.7984930272347
40,random,951.7120172705722
40,qwen3-fallback,823.518548488941
41,alphabeta,1088.6881665082128
41,gemma4-ollama,1086.2723415040296
42,alphabeta,1088.5769154483066
42,gemma4-ollama,1086.3835925639357
43,alphabeta,1088.4759105385185
43,gemma4-ollama,1086.4845974737239
44,alphabeta,1088.3842081870762
44,gemma4-ollama,1086.5762998251662
45,alphabeta,1088.300951681654
45,gemma4-ollama,1086.6595563305884
46,alphabeta,1088.2253631946687
46,gemma4-ollama,1086.7351448175737
47,alphabeta,1088.1567365231058
47,gemma4-ollama,1086.8037714891366
48,alphabeta,1088.0944304956784
48,gemma4-ollama,1086.866077516564
49,alphabeta,1088.0378629861966
49,gemma4-ollama,1086.9226450260458
50,alphabeta,1087.9865054775685
50,gemma4-ollama,1086.974002534674
51,alphabeta,1086.2354051844368
51,gpt-oss,1051.5600265213764
52,alphabeta,1084.6438259412698
52,gpt-oss,1053.1516057645433
53,alphabeta,1083.197514381694
53,gpt-oss,1054.5979173241192
54,alphabeta,1081.883421008875
54,gpt-oss,1055.912010696938
55,alphabeta,1080.6896161256705
55,gpt-oss,1057.1058155801427
56,alphabeta,1079.605206986874
56,gpt-oss,1058.1902247189391
57,alphabeta,1078.6202576169494
57,gpt-oss,1059.1751740888637
58,alphabeta,1077.7257122440265
58,gpt-oss,1060.0697194617867
59,alphabeta,1076.913322932334
59,gpt-oss,1060.882108773479
60,alphabeta,1076.1755817238216
60,gpt-oss,1061.6198499819916
61,alphabeta,1082.2339391080393
61,qwen3-fallback,817.4601911047233
62,alphabeta,1087.9571302641248
62,qwen3-fallback,811.7369999486378
63,alphabeta,1093.377185871597
63,qwen3-fallback,806.3169443411656
64,alphabeta,1098.522078237681
64,qwen3-fallback,801.1720519750817
65,alphabeta,1103.416330273809
65,qwen3-fallback,796.2777999389535
66,alphabeta,1108.0815239227059
66,qwen3-fallback,791.6126062900569
67,alphabeta,1112.5367250210932
67,qwen3-fallback,787.1574051916697
68,alphabeta,1116.798839000761
68,qwen3-fallback,782.8952912120018
69,alphabeta,1120.8829094437078
69,qwen3-fallback,778.811220769055
70,alphabeta,1124.8023694190708
70,qwen3-fallback,774.891760793692
71,gemma4-ollama,1085.808468891328
71,gpt-oss,1062.7853836253375
72,gemma4-ollama,1084.7497658212576
72,gpt-oss,1063.844086695408
73,gemma4-ollama,1099.7881839385223
73,gpt-oss,1048.8056685781432
74,gemma4-ollama,1097.45705999352
74,gpt-oss,1051.1367925231455
75,gemma4-ollama,1111.3364819428155
75,gpt-oss,1037.25737057385
76,gemma4-ollama,1107.9757864311016
76,gpt-oss,1040.618066085564
77,gemma4-ollama,1104.9121363950092
77,gpt-oss,1043.6817161216563
78,gemma4-ollama,1102.1212060798575
78,gpt-oss,1046.472646436808
79,gemma4-ollama,1115.580187435563
79,gpt-oss,1033.0136650811025
80,gemma4-ollama,1111.8478570710222
80,gpt-oss,1036.7459954456433
81,gemma4-ollama,1115.8697304265256
81,qwen3-fallback,770.8698874381887
82,gemma4-ollama,1119.7315845852231
82,qwen3-fallback,767.0080332794912
83,gemma4-ollama,1123.4449856268463
83,qwen3-fallback,763.2946322378679
84,gemma4-ollama,1127.020340599096
84,qwen3-fallback,759.7192772656182
85,gemma4-ollama,1130.46704177357
85,qwen3-fallback,756.2725760911443
86,gemma4-ollama,1133.7935899261001
86,qwen3-fallback,752.9460279386142
87,gemma4-ollama,1137.0077000625636
87,qwen3-fallback,749.7319178021507
88,gemma4-ollama,1140.1163924047387
88,qwen3-fallback,746.6232254599757
89,gemma4-ollama,1143.1260709578344
89,qwen3-fallback,743.6135469068801
90,gemma4-ollama,1146.042591580216
90,qwen3-fallback,740.6970262844985
91,gpt-oss,1041.6713774072887
91,qwen3-fallback,735.7716443228533
92,gpt-oss,1046.3650607752093
92,qwen3-fallback,731.0779609549328
93,gpt-oss,1050.8464153078696
93,qwen3-fallback,726.5966064222724
94,gpt-oss,1055.132607823178
94,qwen3-fallback,722.3104139069641
95,gpt-oss,1059.2389075415465
95,qwen3-fallback,718.2041141885954
96,gpt-oss,1063.1789430335616
96,qwen3-fallback,714.2640786965803
97,gpt-oss,1066.9649191413964
97,qwen3-fallback,710.4781025887455
98,gpt-oss,1070.607800733918
98,qwen3-fallback,706.8352209962238
99,gpt-oss,1074.117468912603
99,qwen3-fallback,703.3255528175388
100,gpt-oss,1077.5028542692373
100,qwen3-fallback,699.9401674609044
