game_idx,name,rating
0,alphabeta,1000.0
0,random_a,1000.0
0,random_b,1000.0
0,qwen3-0.6b,1000.0
1,alphabeta,1016.0
1,random_a,984.0
2,alphabeta,1030.5304984710244
2,random_a,969.4695015289755
3,alphabeta,1043.747133633611
3,random_a,956.2528663663891
4,alphabeta,1055.8009426289977
4,random_a,944.1990573710023
5,alphabeta,1066.8312456204
5,random_a,933.1687543795999
6,alphabeta,1079.7909584845486
6,random_b,987.0402871358516
7,alphabeta,1091.6182883343154
7,random_b,975.2129572860849
8,alphabeta,1102.4495928829176
8,random_b,964.3816527374827
9,alphabeta,1112.4061561033952
9,random_b,954.425089517005
10,alphabeta,1121.5940009124254
10,random_b,945.2372447079748
11,alphabeta,1132.2123374766945
11,qwen3-0.6b,989.381663435731
12,alphabeta,1141.9818407344483
12,qwen3-0.6b,979.6121601779772
13,alphabeta,1151.0051117292398
13,qwen3-0.6b,970.5888891831856
14,alphabeta,1159.3708103226359
14,qwen3-0.6b,962.2231905897896
15,alphabeta,1167.1552244413713
15,qwen3-0.6b,954.4387764710542
16,random_a,917.7243054765205
16,random_b,960.6816936110542
17,random_a,903.6925468995823
17,random_b,974.7134521879924
18,random_a,890.9183743702839
18,random_b,987.4876247172908
19,random_a,879.2544614781492
19,random_b,999.1515376094255
20,random_a,868.5667061503468
20,random_b,1009.8392929372279
21,random_a,888.4426561327314
21,qwen3-0.6b,934.5628264886697
22,random_a,906.554180546496
22,qwen3-0.6b,916.451302074905
23,random_a,923.009836593581
23,qwen3-0.6b,899.99564602782
24,random_a,937.9515413468505
24,qwen3-0.6b,885.0539412745505
25,random_a,951.5341667115682
25,qwen3-0.6b,871.4713159098328
26,random_b,1019.7840140943823
26,qwen3-0.6b,861.5265947526784
27,random_b,1028.961442870466
27,qwen3-0.6b,852.3491659765947
28,random_b,1037.4631425244177
28,qwen3-0.6b,843.8474663226431
29,random_b,1045.3679488107837
29,qwen3-0.6b,835.9426600362771
30,random_b,1052.7436151950444
30,qwen3-0.6b,828.5669936520162
