agent_name,games,wins,draws,losses,invalid_moves,optimal_actions,total_actions,win_rate,draw_rate,loss_rate,invalid_rate,optimality_rate
alphabeta,15,15,0,0,0,38,38,1.0,0.0,0.0,0.0,1.0
random_a,15,5,0,10,0,22,36,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6111111111111112
random_b,15,10,0,5,0,22,35,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6285714285714286
qwen3-0.6b,15,0,0,15,15,9,27,0.0,0.0,1.0,1.0,0.3333333333333333
