agent_name,games,wins,draws,losses,invalid_moves,optimal_actions,total_actions,win_rate,draw_rate,loss_rate,invalid_rate,optimality_rate
alphabeta,60,60,0,0,0,180,180,1.0,0.0,0.0,0.0,1.0
random_a,60,0,0,60,0,90,165,0.0,0.0,1.0,0.0,0.5454545454545454
random_b,60,30,0,30,0,120,180,0.5,0.0,0.5,0.0,0.6666666666666666
