game_idx,name,rating
0,random,1000.0
0,alphabeta,1000.0
0,gemma4-ollama,1000.0
0,gpt-oss,1000.0
0,qwen3-0.6b,1000.0
1,random,984.0
1,alphabeta,1016.0
2,random,969.4695015289755
2,alphabeta,1030.5304984710244
3,random,956.2528663663891
3,alphabeta,1043.747133633611
4,random,944.1990573710023
4,alphabeta,1055.8009426289977
5,random,933.1687543795999
5,alphabeta,1066.8312456204
6,random,923.0374294577985
6,alphabeta,1076.9625705422015
7,random,913.6959037914467
7,alphabeta,1086.3040962085533
8,random,905.0495323668632
8,alphabeta,1094.950467633137
9,random,897.0167599661112
9,alphabeta,1102.983240033889
10,random,889.5274825963792
10,alphabeta,1110.472517403621
11,random,878.4501406229334
11,gemma4-ollama,1011.0773419734458
12,random,868.2775080927495
12,gemma4-ollama,1021.2499745036297
13,random,858.8996667963995
13,gemma4-ollama,1030.6278157999795
14,random,850.2212914630298
14,gemma4-ollama,1039.3061911333493
15,random,842.1602243348221
15,gemma4-ollama,1047.367258261557
16,random,834.6458394757744
16,gemma4-ollama,1054.8816431206046
17,random,827.6174345439907
17,gemma4-ollama,1061.9100480523884
18,random,821.0227616677364
18,gemma4-ollama,1068.5047209286429
19,random,814.816738330054
19,gemma4-ollama,1074.7107442663253
20,random,808.9603422592795
20,gemma4-ollama,1080.5671403370998
21,random,800.9669427321122
21,gpt-oss,1007.9933995271673
22,random,793.5126109644305
22,gpt-oss,1015.4477312948491
23,random,786.5377105209784
23,gpt-oss,1022.4226317383011
24,random,779.9908983718889
24,gpt-oss,1028.9694438873908
25,random,773.8278576544311
25,gpt-oss,1035.1324846048485
26,random,768.0102134966919
26,gpt-oss,1040.9501287625876
27,random,762.5046172190068
27,gpt-oss,1046.4557250402727
28,random,757.281978253982
28,gpt-oss,1051.6783640052977
29,random,752.3168222018802
29,gpt-oss,1056.6435200573994
30,random,747.58675488776
30,gpt-oss,1061.3735873715198
31,random,773.5215020959788
31,qwen3-0.6b,974.0652527917812
32,random,797.8516717107537
32,qwen3-0.6b,949.7350831770062
33,random,820.4322149443251
33,qwen3-0.6b,927.1545399434349
34,random,841.1980031408962
34,qwen3-0.6b,906.3887517468638
35,random,860.16540553226
35,qwen3-0.6b,887.4213493555
36,random,877.4180195590536
36,qwen3-0.6b,870.1687353287064
37,random,893.0842261209124
37,qwen3-0.6b,854.5025287668476
38,random,907.3147407633413
38,qwen3-0.6b,840.2720141244187
39,random,920.2650672999928
39,qwen3-0.6b,827.3216875877672
40,random,932.0841273781093
40,qwen3-0.6b,815.5026275096507
41,alphabeta,1109.0987149792215
41,gemma4-ollama,1081.9409427614992
42,alphabeta,1107.850594311877
42,gemma4-ollama,1083.1890634288436
43,alphabeta,1106.7167923823451
43,gemma4-ollama,1084.3228653583756
44,alphabeta,1105.6869396885998
44,gemma4-ollama,1085.352718052121
45,alphabeta,1104.7515819121866
45,gemma4-ollama,1086.2880758285341
46,alphabeta,1103.902105552359
46,gemma4-ollama,1087.1375521883617
47,alphabeta,1103.130667953929
47,gemma4-ollama,1087.9089897867916
48,alphabeta,1102.4301319261108
48,gemma4-ollama,1088.60952581461
49,alphabeta,1101.7940049860479
49,gemma4-ollama,1089.2456527546728
50,alphabeta,1101.2163831464977
50,gemma4-ollama,1089.823274594223
51,alphabeta,1099.3895556418586
51,gpt-oss,1063.200414876159
52,alphabeta,1097.7289852099198
52,gpt-oss,1064.8609853080977
53,alphabeta,1096.2198571660047
53,gpt-oss,1066.3701133520128
54,alphabeta,1094.8485978943881
54,gpt-oss,1067.7413726236296
55,alphabeta,1093.6027908613069
55,gpt-oss,1068.9871796567109
56,alphabeta,1092.4710930119243
56,gpt-oss,1070.1188775060934
57,alphabeta,1091.4431532612027
57,gpt-oss,1071.146817256815
58,alphabeta,1090.509534231099
58,gpt-oss,1072.0804362869187
59,alphabeta,1089.6616379664326
59,gpt-oss,1072.928332551585
60,alphabeta,1088.8916360502105
60,gpt-oss,1073.6983344678072
61,alphabeta,1094.3854580984212
61,qwen3-0.6b,810.00880546144
62,alphabeta,1099.5974003482736
62,qwen3-0.6b,804.7968632115875
63,alphabeta,1104.552805199864
63,qwen3-0.6b,799.8414583599971
64,alphabeta,1109.273954195416
64,qwen3-0.6b,795.120309364445
65,alphabeta,1113.7805125265886
65,qwen3-0.6b,790.6137510332725
66,alphabeta,1118.0899009785217
66,qwen3-0.6b,786.3043625813394
67,alphabeta,1122.217607903086
67,qwen3-0.6b,782.176655656775
68,alphabeta,1126.1774516461655
68,qwen3-0.6b,778.2168119136953
69,alphabeta,1129.9818020044072
69,qwen3-0.6b,774.4124615554537
70,alphabeta,1133.64176774224
70,qwen3-0.6b,770.7524958176209
71,gemma4-ollama,1089.0812263755029
71,gpt-oss,1074.4403826865273
72,gemma4-ollama,1088.4073894167195
72,gpt-oss,1075.1142196453106
73,gemma4-ollama,1087.795514868886
73,gpt-oss,1075.7260941931443
74,gemma4-ollama,1087.2399209795433
74,gpt-oss,1076.2816880824869
75,gemma4-ollama,1086.7354429777902
75,gpt-oss,1076.78616608424
76,gemma4-ollama,1086.2773870456122
76,gpt-oss,1077.244222016418
77,gemma4-ollama,1085.8614881311787
77,gpt-oss,1077.6601209308515
78,gemma4-ollama,1085.4838713495128
78,gpt-oss,1078.0377377125174
79,gemma4-ollama,1085.141016714698
79,gpt-oss,1078.3805923473321
80,gemma4-ollama,1084.8297269527548
80,gpt-oss,1078.6918821092754
81,gemma4-ollama,1089.3379886956914
81,qwen3-0.6b,766.2442340746843
82,gemma4-ollama,1093.6489445638242
82,qwen3-0.6b,761.9332782065514
83,gemma4-ollama,1097.7780977787852
83,qwen3-0.6b,757.8041249915906
84,gemma4-ollama,1101.739279561062
84,qwen3-0.6b,753.8429432093138
85,gemma4-ollama,1105.5448708953638
85,qwen3-0.6b,750.0373518750121
86,gemma4-ollama,1109.205990303586
86,qwen3-0.6b,746.3762324667898
87,gemma4-ollama,1112.7326533921798
87,qwen3-0.6b,742.8495693781961
88,gemma4-ollama,1116.1339088970165
88,qwen3-0.6b,739.4483138733596
89,gemma4-ollama,1119.4179550985943
89,qwen3-0.6b,736.1642676717818
90,gemma4-ollama,1122.5922397892373
90,qwen3-0.6b,732.9899829811387
91,gpt-oss,1082.5400336651128
91,qwen3-0.6b,729.1418314253013
92,gpt-oss,1086.2407058388376
92,qwen3-0.6b,725.4411592515767
93,gpt-oss,1089.8042095738351
93,qwen3-0.6b,721.877655516579
94,gpt-oss,1093.2398528384847
94,qwen3-0.6b,718.4420122519296
95,gpt-oss,1096.5560622104042
95,qwen3-0.6b,715.1258028800099
96,gpt-oss,1099.7604871802
96,qwen3-0.6b,711.921377910214
97,gpt-oss,1102.8600899410258
97,qwen3-0.6b,708.8217751493881
98,gpt-oss,1105.861222946334
98,qwen3-0.6b,705.82064214408
99,gpt-oss,1108.769696124376
99,qwen3-0.6b,702.912168966038
100,gpt-oss,1111.5908353169202
100,qwen3-0.6b,700.0910297734937
